,Domain,Course,Similarity
436,Administrative,CSE 327,0.024424507405557152
437,Hardware Engineering,CSE 328,0.16447716106195004
438,IT & Data Management,CSE 328,0.12241437342017888
439,Technical Solutions,CSE 328,0.1178808182477951
440,Technical Writing,CSE 328,0.11623086356557906
441,Data Center & Network,CSE 328,0.11125360727310181
442,Program Management,CSE 328,0.10868208822794259
443,Finance,CSE 328,0.10366492457687855
444,Partnerships,CSE 328,0.10168175157159567
445,Real Estate & Workplace Services,CSE 328,0.10168175157159567
446,Network Engineering,CSE 328,0.10123155207838863
447,Marketing & Communications,CSE 328,0.09594029262661934
448,Legal & Government Relations,CSE 328,0.09115284602157772
449,User Experience & Design,CSE 328,0.0905851743707899
450,Business Strategy,CSE 328,0.0869117095018737
451,Software Engineering,CSE 328,0.0845097886864096
452,Technical Infrastructure,CSE 328,0.08401426455820911
453,People Operations,CSE 328,0.0741445004940033
454,Manufacturing & Supply Chain,CSE 328,0.07392343201208859
455,Product & Customer Support,CSE 328,0.06146230511367321
456,Administrative,CSE 328,0.053248223254922775
457,Sales Operations,CSE 328,0.04606859725899994
458,Developer Relations,CSE 328,0.03978191270725802
459,Sales & Account Management,CSE 328,0.03501068740151823
460,Hardware Engineering,CSE 331,0.16853196222800762
461,Technical Writing,CSE 331,0.15440874123014509
462,User Experience & Design,CSE 331,0.13928155396133662
463,Network Engineering,CSE 331,0.13863068383652716
464,Program Management,CSE 331,0.13836647775024175
465,IT & Data Management,CSE 331,0.13024231046438217
466,Data Center & Network,CSE 331,0.1268302590586245
467,Technical Solutions,CSE 331,0.12249576933681965
468,Technical Infrastructure,CSE 331,0.11120722298510373
469,Partnerships,CSE 331,0.10241116922697983
470,Real Estate & Workplace Services,CSE 331,0.10241116922697983
471,Marketing & Communications,CSE 331,0.10189084308221937
472,Business Strategy,CSE 331,0.10181868677027524
473,Finance,CSE 331,0.10018323561816941
474,Legal & Government Relations,CSE 331,0.09766928870230913
475,Software Engineering,CSE 331,0.07941241902299226
476,People Operations,CSE 331,0.07754333467237302
477,Product & Customer Support,CSE 331,0.0740191750228405
478,Manufacturing & Supply Chain,CSE 331,0.07190349602606147
479,Sales Operations,CSE 331,0.06598824124084786
480,Administrative,CSE 331,0.0590859107876895
481,Sales & Account Management,CSE 331,0.05068899202160537
482,Developer Relations,CSE 331,0.025157668383326382
483,IT & Data Management,CSE 332,0.15286336861112537
484,Program Management,CSE 332,0.14059462420204105
485,User Experience & Design,CSE 332,0.13718301715219722
486,Partnerships,CSE 332,0.13108304866096554
487,Real Estate & Workplace Services,CSE 332,0.13108304866096554
488,Technical Solutions,CSE 332,0.12618166679406867
489,Data Center & Network,CSE 332,0.1248601821853834
490,Legal & Government Relations,CSE 332,0.11439224929713152
491,Business Strategy,CSE 332,0.1134094297338058
492,Hardware Engineering,CSE 332,0.10600732929785461
493,Technical Writing,CSE 332,0.10194534413954791
494,Finance,CSE 332,0.10160097950959907
495,People Operations,CSE 332,0.10052430103806888
496,Marketing & Communications,CSE 332,0.09850928998168777
497,Product & Customer Support,CSE 332,0.09706468263860135
498,Software Engineering,CSE 332,0.09612142415169407
499,Network Engineering,CSE 332,0.09188105817884207
500,Manufacturing & Supply Chain,CSE 332,0.07970602769295082
501,Technical Infrastructure,CSE 332,0.07497573947972234
502,Sales Operations,CSE 332,0.06873475891702316
503,Administrative,CSE 332,0.06513828570057419
504,Sales & Account Management,CSE 332,0.0623120885780629
505,Developer Relations,CSE 332,0.02734431454583126
506,Hardware Engineering,CSE 333,0.1928814947605133
507,Network Engineering,CSE 333,0.15307799859070464
508,Marketing & Communications,CSE 333,0.15157952140036382
509,Technical Solutions,CSE 333,0.15033415920640292
510,Data Center & Network,CSE 333,0.14538652959622836
511,Program Management,CSE 333,0.13906395984323403
512,Partnerships,CSE 333,0.13274737388679855
513,Real Estate & Workplace Services,CSE 333,0.13274737388679855
514,User Experience & Design,CSE 333,0.13056092001007577
515,Technical Writing,CSE 333,0.12936914540631206
516,Technical Infrastructure,CSE 333,0.12755375710855188
